study_id,study_label,study_date,source_run_id,source_run_path,run_index,task,model,model_short,upstream_provider,arm,treatment_label,valid,resolved,evaluation_completed,total_tokens,tool_calls,api_calls,cost_usd,wall_seconds,pc1,pc2
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,01__v4-1-flash__caveman_ponytail__django__django-13516__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/01__v4-1-flash__caveman_ponytail__django__django-13516__r1,1,django__django-13516,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman_ponytail,Caveman + Ponytail,True,True,True,1354421,52,48,0.012840582,259.0811538549606,-0.1416420638930354,-1.551784755559173
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,02__v4-flash-0731__ponytail__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/02__v4-flash-0731__ponytail__django__django-7530__r1,2,django__django-7530,deepseek/deepseek-v4-flash-0731,V4,relace,ponytail,Ponytail,True,True,True,511458,26,25,0.010272360000000001,105.32862755306996,-1.8151512155348182,-0.8978039084039752
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,03__v4-1-flash__caveman__django__django-16662__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/03__v4-1-flash__caveman__django__django-16662__r1,3,django__django-16662,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman,Caveman,True,True,True,938339,39,38,0.011208174000000001,95.54077144199982,-0.9572625363665501,0.02735639260622859
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,04__v4-1-flash__caveman_ponytail__django__django-16662__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/04__v4-1-flash__caveman_ponytail__django__django-16662__r1,4,django__django-16662,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman_ponytail,Caveman + Ponytail,True,True,True,608503,29,27,0.008288076,68.22053392091766,-1.7165157232145156,0.287414796105188
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,05__v4-flash-0731__caveman_ponytail__django__django-13516__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/05__v4-flash-0731__caveman_ponytail__django__django-13516__r1,5,django__django-13516,deepseek/deepseek-v4-flash-0731,V4,relace,caveman_ponytail,Caveman + Ponytail,False,True,True,775623,35,33,0.014297016,127.97210260294378,-1.0427265843754694,-0.2568838443218188
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,06__v4-flash-0731__caveman_ponytail__django__django-16662__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/06__v4-flash-0731__caveman_ponytail__django__django-16662__r1,6,django__django-16662,deepseek/deepseek-v4-flash-0731,V4,relace,caveman_ponytail,Caveman + Ponytail,True,True,True,618297,32,30,0.010897416000000002,103.44728074595332,-1.440749726583678,-0.5157014952210383
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,07__v4-1-flash__caveman__pytest-dev__pytest-7571__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/07__v4-1-flash__caveman__pytest-dev__pytest-7571__r1,7,pytest-dev__pytest-7571,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman,Caveman,True,True,True,4733052,118,112,0.03406990199999999,660.0564741929993,2.6761680954526965,2.0008229666101105
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,08__v4-1-flash__caveman__django__django-15731__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/08__v4-1-flash__caveman__django__django-15731__r1,8,django__django-15731,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman,Caveman,True,True,True,2402550,75,73,0.025179947999999997,204.51190979988314,0.9392680833340192,0.8005558135731305
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,09__v4-flash-0731__ponytail__django__django-16662__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/09__v4-flash-0731__ponytail__django__django-16662__r1,9,django__django-16662,deepseek/deepseek-v4-flash-0731,V4,relace,ponytail,Ponytail,True,True,True,512125,28,29,0.009344368000000004,105.37500512297265,-1.557031850051434,0.04088427987738805
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,10__v4-1-flash__ponytail__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/10__v4-1-flash__ponytail__django__django-7530__r1,10,django__django-7530,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,ponytail,Ponytail,True,True,True,26112335,325,317,0.134704146,838.804990360979,5.430568581545302,-1.8103925989728464
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,11__v4-1-flash__ponytail__django__django-16662__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/11__v4-1-flash__ponytail__django__django-16662__r1,11,django__django-16662,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,ponytail,Ponytail,True,True,True,378580,22,22,0.0057773040000000005,57.87481040786952,-2.4276246279330786,-0.42892389881395615
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,12__v4-1-flash__baseline__pytest-dev__pytest-7571__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/12__v4-1-flash__baseline__pytest-dev__pytest-7571__r1,12,pytest-dev__pytest-7571,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,baseline,Baseline,True,True,True,1304211,57,51,0.013583964000000004,154.86082467995584,0.14568476458122195,1.8885469477047463
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,13__v4-1-flash__caveman_ponytail__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/13__v4-1-flash__caveman_ponytail__django__django-7530__r1,13,django__django-7530,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman_ponytail,Caveman + Ponytail,True,True,True,40433366,401,397,0.20048382600000006,1100.9275736180134,6.863606852565096,-0.6859183271553381
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,14__v4-1-flash__caveman_ponytail__pytest-dev__pytest-7571__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/14__v4-1-flash__caveman_ponytail__pytest-dev__pytest-7571__r1,14,pytest-dev__pytest-7571,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman_ponytail,Caveman + Ponytail,True,True,True,5097022,125,125,0.035147675999999996,303.72133443993516,2.2795606289099104,0.9985544146384541
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,15__v4-1-flash__ponytail__django__django-13516__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/15__v4-1-flash__ponytail__django__django-13516__r1,15,django__django-13516,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,ponytail,Ponytail,True,True,True,1177350,54,49,0.011982498000000006,388.3698908011429,0.20698138035267163,-0.3450307649875175
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,16__v4-1-flash__caveman__django__django-13516__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/16__v4-1-flash__caveman__django__django-13516__r1,16,django__django-13516,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman,Caveman,True,True,True,1003469,46,46,0.010548612,213.15923712891527,-0.32836774822311254,-0.28299137382969186
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,17__v4-flash-0731__caveman__django__django-16662__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/17__v4-flash-0731__caveman__django__django-16662__r1,17,django__django-16662,deepseek/deepseek-v4-flash-0731,V4,relace,caveman,Caveman,True,True,True,723228,33,34,0.013008407999999999,119.52987496508285,-1.0313313041867052,0.5487749942677409
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,18__v4-1-flash__baseline__django__django-7530__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/18__v4-1-flash__baseline__django__django-7530__r1,18,django__django-7530,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,baseline,Baseline,True,True,True,3320841,95,94,0.027174822,232.40404450101778,1.5041429292225197,0.9804115690733299
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,19__v4-1-flash__ponytail__django__django-15731__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/19__v4-1-flash__ponytail__django__django-15731__r1,19,django__django-15731,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,ponytail,Ponytail,True,True,True,529218,28,27,0.007122534000000001,68.00369813712314,-1.838468083854135,0.08963481748013317
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,20__v4-flash-0731__caveman_ponytail__django__django-15731__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/20__v4-flash-0731__caveman_ponytail__django__django-15731__r1,20,django__django-15731,deepseek/deepseek-v4-flash-0731,V4,relace,caveman_ponytail,Caveman + Ponytail,True,True,True,468672,25,24,0.009424008,84.22196948295459,-1.7715816996320048,0.9935431458445355
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,21__v4-1-flash__baseline__django__django-15731__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/21__v4-1-flash__baseline__django__django-15731__r1,21,django__django-15731,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,baseline,Baseline,True,True,True,437138,25,25,0.006364985999999999,60.03830078896135,-2.1421368629071904,-0.13743136692007177
current_mixed_provider,Current · V4 via Relace; V4.1 via DeepSeek,2026-09-21,22__v4-1-flash__caveman_ponytail__django__django-15731__r1,benchmark-results/deepseek-v4-v41-relace-deepseek-seed-260924/runs/22__v4-1-flash__caveman_ponytail__django__django-15731__r1,22,django__django-15731,deepseek/deepseek-v4.1-flash-20260910,V4.1,deepseek,caveman_ponytail,Caveman + Ponytail,True,False,True,4346744,116,116,0.032490491999999975,276.2175025169272,2.184157644258645,2.0856184861445892
